SRR395323.3482533 3482533/2
SRR395323.3482534 3482534/2
SRR395323.3482535 3482535/2
SRR395323.3482536 3482536/2
SRR395323.3482537 3482537/2
SRR395323.3482538 3482538/2
SRR395323.3482539 3482539/2
SRR395323.3482540 3482540/2
SRR395323.3482541 3482541/2
SRR395323.3482542 3482542/2
SRR395323.3482543 3482543/2
SRR395323.3482544 3482544/2
SRR395323.3482545 3482545/2
SRR395323.3482546 3482546/2
SRR395323.3482547 3482547/2
SRR395323.3482548 3482548/2
SRR395323.3482549 3482549/2
SRR395323.3482550 3482550/2
SRR395323.3482551 3482551/2
SRR395323.3482552 3482552/2
SRR395323.3482553 3482553/2
SRR395323.3482554 3482554/2
SRR395323.3482555 3482555/2
SRR395323.3482556 3482556/2
SRR395323.3482557 3482557/2
SRR395323.3482558 3482558/2
SRR395323.3482559 3482559/2
SRR395323.3482560 3482560/2
SRR395323.3482561 3482561/2
SRR395323.3482562 3482562/2
SRR395323.3482563 3482563/2
SRR395323.3482564 3482564/2
SRR395323.3482565 3482565/2
SRR395323.3482566 3482566/2
SRR395323.3482567 3482567/2
SRR395323.3482568 3482568/2
SRR395323.3482569 3482569/2
SRR395323.3482570 3482570/2
SRR395323.3482571 3482571/2
SRR395323.3482572 3482572/2
SRR395323.3482573 3482573/2
SRR395323.3482574 3482574/2
SRR395323.3482575 3482575/2
SRR395323.3482576 3482576/2
SRR395323.3482577 3482577/2
SRR395323.3482578 3482578/2
SRR395323.3482579 3482579/2
SRR395323.3482580 3482580/2
SRR395323.3482581 3482581/2
SRR395323.3482582 3482582/2
SRR395323.3482583 3482583/2
SRR395323.3482584 3482584/2
SRR395323.3482585 3482585/2
SRR395323.3482586 3482586/2
SRR395323.3482587 3482587/2
SRR395323.3482588 3482588/2
SRR395323.3482589 3482589/2
SRR395323.3482590 3482590/2
SRR395323.3482591 3482591/2
SRR395323.3482592 3482592/2
SRR395323.3482593 3482593/2
SRR395323.3482594 3482594/2
SRR395323.3482595 3482595/2
SRR395323.3482596 3482596/2
SRR395323.3482597 3482597/2
SRR395323.3482598 3482598/2
SRR395323.3482599 3482599/2
SRR395323.3482600 3482600/2
SRR395323.3482601 3482601/2
SRR395323.3482602 3482602/2
SRR395323.3482603 3482603/2
SRR395323.3482604 3482604/2
SRR395323.3482605 3482605/2
SRR395323.3482606 3482606/2
SRR395323.3482607 3482607/2
SRR395323.3482608 3482608/2
SRR395323.3482609 3482609/2
SRR395323.3482610 3482610/2
SRR395323.3482611 3482611/2
SRR395323.3482612 3482612/2
SRR395323.3482613 3482613/2
SRR395323.3482614 3482614/2
SRR395323.3482615 3482615/2
SRR395323.3482616 3482616/2
SRR395323.3482617 3482617/2
SRR395323.3482618 3482618/2
SRR395323.3482619 3482619/2
SRR395323.3482620 3482620/2
SRR395323.3482621 3482621/2
SRR395323.3482622 3482622/2
SRR395323.3482623 3482623/2
SRR395323.3482624 3482624/2
SRR395323.3482625 3482625/2
SRR395323.3482626 3482626/2
SRR395323.3482627 3482627/2
SRR395323.3482628 3482628/2
SRR395323.3482629 3482629/2
SRR395323.3482630 3482630/2
SRR395323.3482631 3482631/2
SRR395323.3482632 3482632/2
SRR395323.3482633 3482633/2
SRR395323.3482634 3482634/2
SRR395323.3482635 3482635/2
SRR395323.3482636 3482636/2
SRR395323.3482637 3482637/2
SRR395323.3482638 3482638/2
SRR395323.3482639 3482639/2
SRR395323.3482640 3482640/2
SRR395323.3482641 3482641/2
SRR395323.3482642 3482642/2
SRR395323.3482643 3482643/2
SRR395323.3482644 3482644/2
SRR395323.3482645 3482645/2
SRR395323.3482646 3482646/2
SRR395323.3482647 3482647/2
SRR395323.3482648 3482648/2
SRR395323.3482649 3482649/2
SRR395323.3482650 3482650/2
SRR395323.3482651 3482651/2
SRR395323.3482652 3482652/2
SRR395323.3482653 3482653/2
SRR395323.3482654 3482654/2
SRR395323.3482655 3482655/2
SRR395323.3482656 3482656/2
SRR395323.3482657 3482657/2
SRR395323.3482658 3482658/2
SRR395323.3482659 3482659/2
SRR395323.3482660 3482660/2
SRR395323.3482661 3482661/2
SRR395323.3482662 3482662/2
SRR395323.3482663 3482663/2
SRR395323.3482664 3482664/2
SRR395323.3482665 3482665/2
SRR395323.3482666 3482666/2
SRR395323.3482667 3482667/2
SRR395323.3482668 3482668/2
SRR395323.3482669 3482669/2
SRR395323.3482670 3482670/2
SRR395323.3482671 3482671/2
SRR395323.3482672 3482672/2
SRR395323.3482673 3482673/2
SRR395323.3482674 3482674/2
