ERR243065.51386 HS9_09378:1:1103:21230:83853#36/1
ERR243065.51387 HS9_09378:1:1103:21233:28234#36/1
ERR243065.51388 HS9_09378:1:1103:21235:81334#36/1
ERR243065.51389 HS9_09378:1:1103:21238:69063#36/1
ERR243065.51390 HS9_09378:1:1103:21240:5021#36/1
ERR243065.51391 HS9_09378:1:1103:21241:32426#36/1
ERR243065.51392 HS9_09378:1:1103:21241:37633#36/1
ERR243065.51393 HS9_09378:1:1103:21246:43654#36/1
ERR243065.51394 HS9_09378:1:1103:21249:38254#36/1
ERR243065.51395 HS9_09378:1:1103:21251:19818#36/1
ERR243065.51396 HS9_09378:1:1103:21251:51884#36/1
ERR243065.51397 HS9_09378:1:1103:21252:44779#36/1
ERR243065.51398 HS9_09378:1:1103:21253:61806#36/1
ERR243065.51399 HS9_09378:1:1103:21254:78953#36/1
ERR243065.51400 HS9_09378:1:1103:21255:95041#36/1
ERR243065.51401 HS9_09378:1:1103:21259:13240#36/1
ERR243065.51402 HS9_09378:1:1103:21259:56513#36/1
ERR243065.51403 HS9_09378:1:1103:21260:8296#36/1
ERR243065.51404 HS9_09378:1:1103:21260:86462#36/1
ERR243065.51405 HS9_09378:1:1103:21261:6224#36/1
ERR243065.51406 HS9_09378:1:1103:21261:50977#36/1
ERR243065.51407 HS9_09378:1:1103:21262:11469#36/1
ERR243065.51408 HS9_09378:1:1103:21262:54575#36/1
ERR243065.51409 HS9_09378:1:1103:21264:87977#36/1
ERR243065.51410 HS9_09378:1:1103:21264:92544#36/1
ERR243065.51411 HS9_09378:1:1103:21265:76873#36/1
ERR243065.51412 HS9_09378:1:1103:21266:51378#36/1
ERR243065.51413 HS9_09378:1:1103:21267:37779#36/1
ERR243065.51414 HS9_09378:1:1103:21267:62540#36/1
ERR243065.51415 HS9_09378:1:1103:21271:67201#36/1
ERR243065.51416 HS9_09378:1:1103:21271:86964#36/1
ERR243065.51417 HS9_09378:1:1103:21272:95162#36/1
ERR243065.51418 HS9_09378:1:1103:21273:6243#36/1
ERR243065.51419 HS9_09378:1:1103:21273:30519#36/1
ERR243065.51420 HS9_09378:1:1103:21273:64551#36/1
ERR243065.51421 HS9_09378:1:1103:21276:54089#36/1
ERR243065.51422 HS9_09378:1:1103:21276:85375#36/1
ERR243065.51423 HS9_09378:1:1103:21277:80869#36/1
ERR243065.51424 HS9_09378:1:1103:21280:12046#36/1
ERR243065.51425 HS9_09378:1:1103:21280:79021#36/1
ERR243065.51426 HS9_09378:1:1103:21282:53528#36/1
ERR243065.51427 HS9_09378:1:1103:21282:67679#36/1
ERR243065.51428 HS9_09378:1:1103:21283:49447#36/1
ERR243065.51429 HS9_09378:1:1103:21289:22201#36/1
ERR243065.51430 HS9_09378:1:1103:21293:3766#36/1
ERR243065.51431 HS9_09378:1:1103:21294:46285#36/1
ERR243065.51432 HS9_09378:1:1103:21294:86850#36/1
ERR243065.51433 HS9_09378:1:1103:21296:12026#36/1
ERR243065.51434 HS9_09378:1:1103:21296:65719#36/1
ERR243065.51435 HS9_09378:1:1103:21296:93467#36/1
ERR243065.51436 HS9_09378:1:1103:21297:16675#36/1
ERR243065.51437 HS9_09378:1:1103:21300:5111#36/1
ERR243065.51438 HS9_09378:1:1103:21302:39767#36/1
ERR243065.51439 HS9_09378:1:1103:21302:61635#36/1
ERR243065.51440 HS9_09378:1:1103:21302:72175#36/1
ERR243065.51441 HS9_09378:1:1103:21303:63620#36/1
ERR243065.51442 HS9_09378:1:1103:21303:73177#36/1
ERR243065.51443 HS9_09378:1:1103:21303:84927#36/1
ERR243065.51444 HS9_09378:1:1103:21304:49599#36/1
ERR243065.51445 HS9_09378:1:1103:21305:58371#36/1
ERR243065.51446 HS9_09378:1:1103:21305:81482#36/1
ERR243065.51447 HS9_09378:1:1103:21308:17146#36/1
ERR243065.51448 HS9_09378:1:1103:21311:79257#36/1
ERR243065.51449 HS9_09378:1:1103:21316:18958#36/1
ERR243065.51450 HS9_09378:1:1103:21317:10773#36/1
ERR243065.51451 HS9_09378:1:1103:21318:96435#36/1
ERR243065.51452 HS9_09378:1:1103:21318:98410#36/1
ERR243065.51453 HS9_09378:1:1103:21319:34811#36/1
ERR243065.51454 HS9_09378:1:1103:21319:63667#36/1
ERR243065.51455 HS9_09378:1:1103:21320:51398#36/1
ERR243065.51456 HS9_09378:1:1103:21321:56071#36/1
ERR243065.51457 HS9_09378:1:1103:21328:43210#36/1
ERR243065.51458 HS9_09378:1:1103:21335:63033#36/1
ERR243065.51459 HS9_09378:1:1103:21336:31899#36/1
ERR243065.51460 HS9_09378:1:1103:21336:91605#36/1
ERR243065.51461 HS9_09378:1:1103:21340:5349#36/1
ERR243065.51462 HS9_09378:1:1103:21341:52072#36/1
ERR243065.51463 HS9_09378:1:1103:21343:90986#36/1
ERR243065.51464 HS9_09378:1:1103:21344:93147#36/1
ERR243065.51465 HS9_09378:1:1103:21345:82693#36/1
ERR243065.51466 HS9_09378:1:1103:21346:44988#36/1
ERR243065.51467 HS9_09378:1:1103:21346:96135#36/1
ERR243065.51468 HS9_09378:1:1103:21347:28232#36/1
ERR243065.51469 HS9_09378:1:1103:21350:60203#36/1
ERR243065.51470 HS9_09378:1:1103:21350:69554#36/1
ERR243065.51471 HS9_09378:1:1103:21352:45549#36/1
ERR243065.51472 HS9_09378:1:1103:21354:26988#36/1
ERR243065.51473 HS9_09378:1:1103:21357:63231#36/1
ERR243065.51474 HS9_09378:1:1103:21360:58453#36/1
ERR243065.51475 HS9_09378:1:1103:21360:95382#36/1
ERR243065.51476 HS9_09378:1:1103:21363:33873#36/1
ERR243065.51477 HS9_09378:1:1103:21364:7528#36/1
